🦸🏻‍♂️: Kiko, ⚽️: new-ars_TP, 📊: 2,havertz, ⏱️: 02.11.2024, 12:20:28
🦸🏻‍♂️: Matelko, ⚽️: new-ars_TP, 📊: 2, Gabriel M., ⏱️: 02.11.2024, 12:30:30
🦸🏻‍♂️: Patres, ⚽️: new-ars_TP, 📊: 2, Saka, ⏱️: 02.11.2024, 13:27:17
🦸🏻‍♂️: Matelko, ⚽️: bou-mci_TP, 📊: 2, Gavrdiol, ⏱️: 02.11.2024, 14:51:57
🦸🏻‍♂️: Matelko, ⚽️: ips-lei_TP, 📊: 1, Delap, ⏱️: 02.11.2024, 14:52:32
🦸🏻‍♂️: Matelko, ⚽️: liv-bri_TP, 📊: 1, Gakpo, ⏱️: 02.11.2024, 14:53:05
🦸🏻‍♂️: Matelko, ⚽️: not-whu_TP, 📊: X, Bowen, ⏱️: 02.11.2024, 14:53:59
🦸🏻‍♂️: Matelko, ⚽️: sou-eve_TP, 📊: X, DCL, ⏱️: 02.11.2024, 14:55:02
🦸🏻‍♂️: Kiko, ⚽️: bou-mci_TP, 📊: 2,silva, ⏱️: 02.11.2024, 14:59:16
🦸🏻‍♂️: Kiko, ⚽️: ips-lei_TP, 📊: 2,mavididi, ⏱️: 02.11.2024, 15:00:42
🦸🏻‍♂️: Kiko, ⚽️: liv-bri_TP, 📊: 1,salah, ⏱️: 02.11.2024, 15:01:03
🦸🏻‍♂️: Kiko, ⚽️: not-whu_TP, 📊: X,wood, ⏱️: 02.11.2024, 15:01:37
🦸🏻‍♂️: Kiko, ⚽️: sou-eve_TP, 📊: X,mcneil, ⏱️: 02.11.2024, 15:02:52
🦸🏻‍♂️: Patres, ⚽️: bou-mci_TP, 📊: 2, Foden, ⏱️: 02.11.2024, 15:45:42
🦸🏻‍♂️: Patres, ⚽️: ips-lei_TP, 📊: 1, Vardy , ⏱️: 02.11.2024, 15:45:43
🦸🏻‍♂️: Patres, ⚽️: liv-bri_TP, 📊: 1, Szoboszlai, ⏱️: 02.11.2024, 15:45:44
🦸🏻‍♂️: Patres, ⚽️: not-whu_TP, 📊: 1, Odoi, ⏱️: 02.11.2024, 15:45:46
🦸🏻‍♂️: Patres, ⚽️: sou-eve_TP, 📊: 1, Archer, ⏱️: 02.11.2024, 15:45:47
🦸🏻‍♂️: Patres, ⚽️: wol-cry_TP, 📊: 1, Cunha, ⏱️: 02.11.2024, 15:46:37
🦸🏻‍♂️: Matelko, ⚽️: wol-cry_TP, 📊: 2, Eze 👑, ⏱️: 02.11.2024, 15:55:48
🦸🏻‍♂️: Kiko, ⚽️: wol-cry_TP, 📊: 2,mateta, ⏱️: 02.11.2024, 17:30:11
🦸🏻‍♂️: Matelko, ⚽️: wol-cry_TP, 📊: 2, Nketiah, ⏱️: 02.11.2024, 17:34:51

🦸🏻‍♂️: Matelko, ⚽️: tot-ast_TP, 📊: 2, McGinn, ⏱️: 03.11.2024, 12:45
🦸🏻‍♂️: Patres, ⚽️: tot-ast_TP, 📊: X, Romero, ⏱️: 03.11.2024, 14:08

🦸🏻‍♂️: Kiko, ⚽️: mun-che_TP, 📊: 1,garnacho, ⏱️: 03.11.2024, 16:23:33
🦸🏻‍♂️: Matelko, ⚽️: mun-che_TP, 📊: X, Palmer, ⏱️: 03.11.2024, 16:26:49
🦸🏻‍♂️: Patres, ⚽️: mun-che_TP, 📊: X, Palmer, ⏱️: 03.11.2024, 16:29:23
🦸🏻‍♂️: Patres, ⚽️: mun-che_TP, 📊: X, Fernandes , ⏱️: 03.11.2024, 16:32:26
🦸🏻‍♂️: Matelko, ⚽️: ful-bre_TP, 📊: 1, wissa, ⏱️: 04.11.2024, 20:10:37
🦸🏻‍♂️: Kiko, ⚽️: ful-bre_TP, 📊: 1,mbeumo, ⏱️: 04.11.2024, 20:12:22
