🦸🏻‍♂️: Matelko, ⚽️: wol-sou_TP, 📊: 1, Larsen, ⏱️: 09.11.2024, 14:59:36
🦸🏻‍♂️: Kiko, ⚽️: bre-bou_TP, 📊: 1,mbeumo, ⏱️: 09.11.2024, 14:59:52
🦸🏻‍♂️: Matelko, ⚽️: bre-bou_TP, 📊: X, Evanilson, ⏱️: 09.11.2024, 14:59:58
🦸🏻‍♂️: Matelko, ⚽️: cry-ful_TP, 📊: X, Sarr, ⏱️: 09.11.2024, 15:00:37
🦸🏻‍♂️: Kiko, ⚽️: cry-ful_TP, 📊: 2,jimenez, ⏱️: 09.11.2024, 15:00:45
🦸🏻‍♂️: Matelko, ⚽️: whu-eve_TP, 📊: 1, Antonio, ⏱️: 09.11.2024, 15:01:16
🦸🏻‍♂️: Kiko, ⚽️: whu-eve_TP, 📊: 1,bowen, ⏱️: 09.11.2024, 15:01:33
🦸🏻‍♂️: Patres, ⚽️: bre-bou_TP, 📊: X, Semenyo, ⏱️: 09.11.2024, 15:02:06
🦸🏻‍♂️: Kiko, ⚽️: wol-sou_TP, 📊: 1,sarabia, ⏱️: 09.11.2024, 15:03:40
🦸🏻‍♂️: Patres, ⚽️: cry-ful_TP, 📊: X, ESR, ⏱️: 09.11.2024, 15:04:28
🦸🏻‍♂️: Patres, ⚽️: whu-eve_TP, 📊: 1, Summerville, ⏱️: 09.11.2024, 15:04:29
🦸🏻‍♂️: Patres, ⚽️: wol-sou_TP, 📊: 1, Ait-Nouri, ⏱️: 09.11.2024, 15:04:31
🦸🏻‍♂️: Kiko, ⚽️: bre-bou_TP, 📊: X,mbeumo, ⏱️: 09.11.2024, 15:04:42
🦸🏻‍♂️: Kiko, ⚽️: bri-mci_TP, 📊: 2,foden, ⏱️: 09.11.2024, 17:59:06
🦸🏻‍♂️: Patres, ⚽️: bri-mci_TP, 📊: 2, Gundogan, ⏱️: 09.11.2024, 18:10:19
🦸🏻‍♂️: Matelko, ⚽️: bri-mci_TP, 📊: X, Welbeck, ⏱️: 09.11.2024, 18:12:19
🦸🏻‍♂️: Kiko, ⚽️: liv-ast_TP, 📊: 1,diaz, ⏱️: 09.11.2024, 20:02:16
🦸🏻‍♂️: Patres, ⚽️: liv-ast_TP, 📊: 1, Salah, ⏱️: 09.11.2024, 20:07:23
🦸🏻‍♂️: Matelko, ⚽️: liv-ast_TP, 📊: X,  watkins, ⏱️: 09.11.2024, 20:36:25
🦸🏻‍♂️: Kiko, ⚽️: mun-lei_TP, 📊: 1,Bruno, ⏱️: 10.11.2024, 13:55:45
🦸🏻‍♂️: Kiko, ⚽️: not-new_TP, 📊: X,wood, ⏱️: 10.11.2024, 13:56:28
🦸🏻‍♂️: Matelko, ⚽️: mun-lei_TP, 📊: 1, dalot, ⏱️: 10.11.2024, 13:56:31
🦸🏻‍♂️: Matelko, ⚽️: not-new_TP, 📊: 2, willock, ⏱️: 10.11.2024, 13:56:51
🦸🏻‍♂️: Kiko, ⚽️: tot-ips_TP, 📊: 1,son, ⏱️: 10.11.2024, 13:56:58
🦸🏻‍♂️: Matelko, ⚽️: tot-ips_TP, 📊: 1, Bentancur, ⏱️: 10.11.2024, 13:57:16
🦸🏻‍♂️: Patres, ⚽️: mun-lei_TP, 📊: 1, Diallo, ⏱️: 10.11.2024, 14:14:40
🦸🏻‍♂️: Patres, ⚽️: not-new_TP, 📊: 2, Guiamares, ⏱️: 10.11.2024, 14:15:24
🦸🏻‍♂️: Patres, ⚽️: tot-ips_TP, 📊: 1, Romero, ⏱️: 10.11.2024, 14:15:59
🦸🏻‍♂️: Patres, ⚽️: che-ars_TP, 📊: 2, Havertz , ⏱️: 10.11.2024, 14:16:12
🦸🏻‍♂️: Matelko, ⚽️: che-ars_TP, 📊: X, White, ⏱️: 10.11.2024, 16:37:56
🦸🏻‍♂️: Kiko, ⚽️: che-ars_TP, 📊: X, palmer, ⏱️: 10.11.2024, 16:39:32
