🦸🏻‍♂️: Matelko, ⚽️: eve-liv, 📊: POSTOPNED	
🦸🏻‍♂️: Patres, ⚽️: eve-liv, 📊: POSTOPNED	
🦸🏻‍♂️: Kiko, ⚽️: eve-liv, 📊: POSTOPNED	

🦸🏻‍♂️: Matelko, ⚽️: ast-sou, 📊: 1, Duran
🦸🏻‍♂️: Patres, ⚽️: ast-sou, 📊: 1, Rogers	
🦸🏻‍♂️: Kiko, ⚽️: ast-sou, 📊: 1, Tielemans

🦸🏻‍♂️: Matelko, ⚽️: bre-new, 📊: X, Mbuemo
🦸🏻‍♂️: Patres, ⚽️: bre-new, 📊: 2, Hall	
🦸🏻‍♂️: Kiko, ⚽️: bre-new, 📊: 2, Isak

🦸🏻‍♂️: Matelko, ⚽️: cry-mci, 📊: 2, Chalobah
🦸🏻‍♂️: Patres, ⚽️: cry-mci, 📊: 2, Lewis
🦸🏻‍♂️: Kiko, ⚽️: cry-mci, 📊: 2, KDB

🦸🏻‍♂️: Matelko, ⚽️: mun-not, 📊: 1, Diallo
🦸🏻‍♂️: Patres, ⚽️: mun-not, 📊: X, Gibbs-White	
🦸🏻‍♂️: Kiko, ⚽️: mun-not, 📊: 1, Hojlund

🦸🏻‍♂️: Matelko, ⚽️: ful-ars, 📊: 2, Jimenez
🦸🏻‍♂️: Patres, ⚽️: ful-ars, 📊: 2, Havertz
🦸🏻‍♂️: Kiko, ⚽️: ful-ars, 📊: 2, Saka

🦸🏻‍♂️: Matelko, ⚽️: ips-bou, 📊: X, Delap
🦸🏻‍♂️: Patres, ⚽️: ips-bou, 📊: 2, Semenyo	
🦸🏻‍♂️: Kiko, ⚽️: ips-bou, 📊: 2, Evanilson

🦸🏻‍♂️: Matelko, ⚽️: lei-bri, 📊: 2, Rutter
🦸🏻‍♂️: Patres, ⚽️: lei-bri, 📊: 1, Ayew	
🦸🏻‍♂️: Kiko, ⚽️: lei-bri, 📊: 2, Ferguson

🦸🏻‍♂️: Matelko, ⚽️: tot-che, 📊: X, Son
🦸🏻‍♂️: Patres, ⚽️: tot-che, 📊: 2, Palmer	
🦸🏻‍♂️: Kiko, ⚽️: tot-che, 📊: 2, Jackson

🦸🏻‍♂️: Matelko, ⚽️: whu-wol, 📊: X, Soucek
🦸🏻‍♂️: Patres, ⚽️: whu-wol, 📊: 1, Kudus	
🦸🏻‍♂️: Kiko, ⚽️: whu-wol, 📊: X, Cunha
