🦸🏻‍♂️: Kiko, ⚽️: ast-mci_TP, 📊: 2, silva, ⏱️: 21.12.2024, 13:13:08
🦸🏻‍♂️: Matelko, ⚽️: bre-not_TP, 📊: X, Schade, ⏱️: 21.12.2024, 15:08:23
🦸🏻‍♂️: Matelko, ⚽️: ips-new_TP, 📊: 2, Isak, ⏱️: 21.12.2024, 15:08:50
🦸🏻‍♂️: Matelko, ⚽️: whu-bri_TP, 📊: X, Bowen, ⏱️: 21.12.2024, 15:09:32
🦸🏻‍♂️: Kiko, ⚽️: bre-not_TP, 📊: 2,wood, ⏱️: 21.12.2024, 15:38:44
🦸🏻‍♂️: Kiko, ⚽️: ips-new_TP, 📊: 2,gordon, ⏱️: 21.12.2024, 15:39:11
🦸🏻‍♂️: Kiko, ⚽️: whu-bri_TP, 📊: X,pedro, ⏱️: 21.12.2024, 15:40:14
🦸🏻‍♂️: Matelko, ⚽️: cry-ars_TP, 📊: 2, Jesus, ⏱️: 21.12.2024, 17:27:11
🦸🏻‍♂️: Kiko, ⚽️: cry-ars_TP, 📊: 2,saka, ⏱️: 21.12.2024, 18:20:55
🦸🏻‍♂️: Patres, ⚽️: cry-ars_TP, 📊: 2, Magalhaes, ⏱️: 21.12.2024, 20:21:16
🦸🏻‍♂️: Kiko, ⚽️: mun-bou_TP, 📊: 1,amad, ⏱️: 22.12.2024, 13:47:24
🦸🏻‍♂️: Kiko, ⚽️: eve-che_TP, 📊: 2,jackson, ⏱️: 22.12.2024, 13:56:43
🦸🏻‍♂️: Kiko, ⚽️: ful-sou_TP, 📊: 1,iwobi, ⏱️: 22.12.2024, 13:57:44
🦸🏻‍♂️: Kiko, ⚽️: lei-wol_TP, 📊: 1,cunha, ⏱️: 22.12.2024, 13:58:43
🦸🏻‍♂️: Matelko, ⚽️: eve-che_TP, 📊: 2, Palmer, ⏱️: 22.12.2024, 14:09:03
🦸🏻‍♂️: Matelko, ⚽️: ful-sou_TP, 📊: X, Muniz, ⏱️: 22.12.2024, 14:09:35
🦸🏻‍♂️: Matelko, ⚽️: lei-wol_TP, 📊: 1, Ayew, ⏱️: 22.12.2024, 14:10:23
🦸🏻‍♂️: Matelko, ⚽️: mun-bou_TP, 📊: 1, Bruno, ⏱️: 22.12.2024, 14:11:18

🦸🏻‍♂️: Kiko, ⚽️: tot-liv_TP, 📊: 2,salah, ⏱️: 22.12.2024, 16:49:33
🦸🏻‍♂️: Matelko, ⚽️: tot-liv_TP, 📊: 2, Gakpo, ⏱️: 22.12.2024, 17:16:54
