🦸🏻‍♂️: Matelko, ⚽️: mci-eve_TP, 📊: 1, Kovacic, ⏱️: 26.12.2024, 13:23:03
🦸🏻‍♂️: Matelko, ⚽️: bou-cry_TP, 📊: X, Eze, ⏱️: 26.12.2024, 14:59:00
🦸🏻‍♂️: Matelko, ⚽️: che-ful_TP, 📊: 1, Jackson, ⏱️: 26.12.2024, 14:59:13
🦸🏻‍♂️: Matelko, ⚽️: new-ast_TP, 📊: X, Tonali, ⏱️: 26.12.2024, 14:59:32
🦸🏻‍♂️: Matelko, ⚽️: not-tot_TP, 📊: X, yates, ⏱️: 26.12.2024, 14:59:48
🦸🏻‍♂️: Matelko, ⚽️: sou-whu_TP, 📊: 2, Bowen, ⏱️: 26.12.2024, 14:59:58
🦸🏻‍♂️: Matelko, ⚽️: wol-mun_TP, 📊: 2, Bruno, ⏱️: 26.12.2024, 15:00:15
🦸🏻‍♂️: Matelko, ⚽️: liv-lei_TP, 📊: 1, Gakpo, ⏱️: 26.12.2024, 15:00:20
🦸🏻‍♂️: Kiko, ⚽️: bou-cry_TP, 📊: 1,kluivert, ⏱️: 26.12.2024, 15:24:09
🦸🏻‍♂️: Kiko, ⚽️: che-ful_TP, 📊: 1,palmer, ⏱️: 26.12.2024, 15:24:23
🦸🏻‍♂️: Kiko, ⚽️: new-ast_TP, 📊: X, isak, ⏱️: 26.12.2024, 15:24:45
🦸🏻‍♂️: Kiko, ⚽️: not-tot_TP, 📊: X,wood , ⏱️: 26.12.2024, 15:25:07
🦸🏻‍♂️: Kiko, ⚽️: sou-whu_TP, 📊: 2,soucek, ⏱️: 26.12.2024, 15:25:41
🦸🏻‍♂️: Kiko, ⚽️: wol-mun_TP, 📊: 2,diallo, ⏱️: 26.12.2024, 15:25:51
🦸🏻‍♂️: Kiko, ⚽️: liv-lei_TP, 📊: 1,salah, ⏱️: 26.12.2024, 15:26:03
🦸🏻‍♂️: Kiko, ⚽️: ars-ips_TP, 📊: 1,havertz, ⏱️: 27.12.2024, 17:52:04
🦸🏻‍♂️: Matelko, ⚽️: bri-bre_TP, 📊: 1, enciso, ⏱️: 27.12.2024, 19:35:06
🦸🏻‍♂️: Matelko, ⚽️: ars-ips_TP, 📊: 1, Jesus, ⏱️: 27.12.2024, 20:17:42
🦸🏻‍♂️: Kiko, ⚽️: bri-bre_TP, 📊: 1,mbeumo, ⏱️: 27.12.2024, 20:23:53
