🦸🏻‍♂️: Matelko, ⚽️: mun-ful_TP, 📊: 1, Garnacho, ⏱️: 16.08.2024, 11:22:17
🦸🏻‍♂️: Kiko, ⚽️: mun-ful_TP, 📊: 1,bruno, ⏱️: 16.08.2024, 11:22:51
🦸🏻‍♂️: Patres, ⚽️: mun-ful_TP, 📊: X, ESR, ⏱️: 16.08.2024, 11:35:42
🦸🏻‍♂️: Kiko, ⚽️: ips-liv_TP, 📊: 2, salah, ⏱️: 17.08.2024, 11:54:04
🦸🏻‍♂️: Kiko, ⚽️: ars-wol_TP, 📊: 1,Havertz, ⏱️: 17.08.2024, 11:55:29
🦸🏻‍♂️: Kiko, ⚽️: new-sou_TP, 📊: 1, Isak, ⏱️: 17.08.2024, 12:00:33
🦸🏻‍♂️: Kiko, ⚽️: not-bou_TP, 📊: 1X, Wood , ⏱️: 17.08.2024, 12:02:15
🦸🏻‍♂️: Kiko, ⚽️: wha-ast_TP, 📊: 1X, Bowen, ⏱️: 17.08.2024, 12:02:55
🦸🏻‍♂️: Patres, ⚽️: ips-liv_TP, 📊: 2, Szoboszlai, ⏱️: 17.08.2024, 13:08:10
🦸🏻‍♂️: Matelko, ⚽️: ips-liv_TP, 📊: 2, Salah, ⏱️: 17.08.2024, 13:19:06
🦸🏻‍♂️: Matelko, ⚽️: ips-liv_TP, 📊: OPRAVA= 2, Jota, ⏱️: 17.08.2024, 13:19:27
🦸🏻‍♂️: Matelko, ⚽️: ars-wol_TP, 📊: 1, White, ⏱️: 17.08.2024, 15:03:00
🦸🏻‍♂️: Matelko, ⚽️: eve-bri_TP, 📊: X, Welbeck, ⏱️: 17.08.2024, 15:04:29
🦸🏻‍♂️: Matelko, ⚽️: new-sou_TP, 📊: 1, Bruno Guim., ⏱️: 17.08.2024, 15:06:07
🦸🏻‍♂️: Matelko, ⚽️: not-bou_TP, 📊: 2, Gibbs-White, ⏱️: 17.08.2024, 15:07:17
🦸🏻‍♂️: Kiko, ⚽️: eve-bri_TP, 📊: X, DCL, ⏱️: 17.08.2024, 15:44:33
🦸🏻‍♂️: Patres, ⚽️: ars-wol_TP, 📊: 1, Zini, ⏱️: 17.08.2024, 15:58:40
🦸🏻‍♂️: Patres, ⚽️: not-bou_TP, 📊: 1, Odoi, ⏱️: 17.08.2024, 16:00:14
🦸🏻‍♂️: Patres, ⚽️: new-sou_TP, 📊: 1, Bruno, ⏱️: 17.08.2024, 16:00:15
🦸🏻‍♂️: Patres, ⚽️: eve-bri_TP, 📊: X, Dunk, ⏱️: 17.08.2024, 16:00:16
🦸🏻‍♂️: Patres, ⚽️: new-sou_TP, 📊: 1, Gordon, ⏱️: 17.08.2024, 16:01:40
🦸🏻‍♂️: Matelko, ⚽️: wha-ast_TP, 📊: 2X, Watkins, ⏱️: 17.08.2024, 17:43:25
🦸🏻‍♂️: Patres, ⚽️: wha-ast_TP, 📊: 2, McGinn, ⏱️: 17.08.2024, 18:19:21
🦸🏻‍♂️: Kiko, ⚽️: che-mci_TP, 📊: 2,Erling, ⏱️: 18.08.2024, 09:15:41
🦸🏻‍♂️: Kiko, ⚽️: bre-cry_TP, 📊: 2, mateta, ⏱️: 18.08.2024, 13:33:25
🦸🏻‍♂️: Matelko, ⚽️: bre-cry_TP, 📊: 2, Eze, ⏱️: 18.08.2024, 14:02:26
🦸🏻‍♂️: Patres, ⚽️: bre-cry_TP, 📊: 1, Wissa, ⏱️: 18.08.2024, 14:50:10
🦸🏻‍♂️: Matelko, ⚽️: che-mci_TP, 📊: X, Palmer, ⏱️: 18.08.2024, 16:30:53
🦸🏻‍♂️: Patres, ⚽️: lei-tot_TP, 📊: 2, Maddison, ⏱️: 19.08.2024, 09:51:17
🦸🏻‍♂️: Kiko, ⚽️: lei-tot_TP, 📊: 2, Son, ⏱️: 19.08.2024, 12:31:27
🦸🏻‍♂️: Matelko, ⚽️: lei-tot_TP, 📊: 2, Solanke , ⏱️: 19.08.2024, 19:59:28
