🦸🏻‍♂️: Matelko, ⚽️: ars-bri_TP, 📊: 1, Saka, ⏱️: 31.08.2024, 12:41:14
🦸🏻‍♂️: Kiko, ⚽️: bre-sou_TP, 📊: 1,Mbeumo, ⏱️: 31.08.2024, 13:32:15
🦸🏻‍♂️: Kiko, ⚽️: eve-bou_TP, 📊: 2X, tavernier, ⏱️: 31.08.2024, 13:33:36
🦸🏻‍♂️: Kiko, ⚽️: ips-ful_TP, 📊: 2, pereira, ⏱️: 31.08.2024, 13:34:10
🦸🏻‍♂️: Kiko, ⚽️: lei-ast_TP, 📊: 2,watkins, ⏱️: 31.08.2024, 13:34:52
🦸🏻‍♂️: Kiko, ⚽️: not-wol_TP, 📊: 1X, Wood, ⏱️: 31.08.2024, 13:35:23
🦸🏻‍♂️: Kiko, ⚽️: whu-mci_TP, 📊: 2, Haaland, ⏱️: 31.08.2024, 13:35:34
🦸🏻‍♂️: Matelko, ⚽️: bre-sou_TP, 📊: 1, Wissa, ⏱️: 31.08.2024, 15:00:40
🦸🏻‍♂️: Matelko, ⚽️: eve-bou_TP, 📊: X, Evanilson, ⏱️: 31.08.2024, 15:01:21
🦸🏻‍♂️: Matelko, ⚽️: ips-ful_TP, 📊: 2, Iwobi, ⏱️: 31.08.2024, 15:01:51
🦸🏻‍♂️: Matelko, ⚽️: lei-ast_TP, 📊: 2, Bailey, ⏱️: 31.08.2024, 15:02:22
🦸🏻‍♂️: Matelko, ⚽️: not-wol_TP, 📊: 1, Gibbs-Wh, ⏱️: 31.08.2024, 15:02:57
🦸🏻‍♂️: Patres, ⚽️: whu-mci_TP, 📊: 2, De Bruyne, ⏱️: 31.08.2024, 16:17:51
🦸🏻‍♂️: Matelko, ⚽️: whu-mci_TP, 📊: 2, Gvardiol, ⏱️: 31.08.2024, 17:30:56
🦸🏻‍♂️: Matelko, ⚽️: che-cry_TP, 📊: 1, Palmer, ⏱️: 01.09.2024, 12:23:12
🦸🏻‍♂️: Matelko, ⚽️: new-tot_TP, 📊: 2X, Son, ⏱️: 01.09.2024, 12:23:21
🦸🏻‍♂️: Matelko, ⚽️: mun-liv_TP, 📊: 2, Jota, ⏱️: 01.09.2024, 12:23:42
🦸🏻‍♂️: Kiko, ⚽️: che-cry_TP, 📊: 1, madueke, ⏱️: 01.09.2024, 13:04:49
🦸🏻‍♂️: Kiko, ⚽️: new-tot_TP, 📊: 2X, isak, ⏱️: 01.09.2024, 13:05:03
🦸🏻‍♂️: Kiko, ⚽️: mun-liv_TP, 📊: X, bruno, ⏱️: 01.09.2024, 13:05:49
🦸🏻‍♂️: Patres, ⚽️: che-cry_TP, 📊: 1, Jackson, ⏱️: 01.09.2024, 14:18:21
🦸🏻‍♂️: Patres, ⚽️: new-tot_TP, 📊: 1, Barnes, ⏱️: 01.09.2024, 14:18:22
🦸🏻‍♂️: Patres, ⚽️: mun-liv_TP, 📊: 2, Salah, ⏱️: 01.09.2024, 14:18:24
