🦸🏻‍♂️: Kiko, ⚽️: sou-mun_TP, 📊: 2, Bruno, ⏱️: 14.09.2024, 10:18:34
🦸🏻‍♂️: Kiko, ⚽️: bri-ips_TP, 📊: 1, pedro, ⏱️: 14.09.2024, 10:19:12
🦸🏻‍♂️: Kiko, ⚽️: cry-lei_TP, 📊: 1, Eze, ⏱️: 14.09.2024, 10:20:51
🦸🏻‍♂️: Kiko, ⚽️: ful-whu_TP, 📊: X, Iwobi, ⏱️: 14.09.2024, 10:21:48
🦸🏻‍♂️: Kiko, ⚽️: liv-not_TP, 📊: 1, Salah, ⏱️: 14.09.2024, 10:21:56
🦸🏻‍♂️: Kiko, ⚽️: mci-bre_TP, 📊: 1, Silva, ⏱️: 14.09.2024, 10:22:21
🦸🏻‍♂️: Kiko, ⚽️: ast-eve_TP, 📊: 1, Watkins, ⏱️: 14.09.2024, 10:22:56
🦸🏻‍♂️: Kiko, ⚽️: bou-che_TP, 📊: 2, Palmer , ⏱️: 14.09.2024, 10:23:07
🦸🏻‍♂️: Patres, ⚽️: sou-mun_TP, 📊: 2, Zirkzee, ⏱️: 14.09.2024, 12:26:02
🦸🏻‍♂️: Matelko, ⚽️: bri-ips_TP, 📊: 1, Mitoma, ⏱️: 14.09.2024, 13:49:11
🦸🏻‍♂️: Matelko, ⚽️: cry-lei_TP, 📊: 1, Mateta, ⏱️: 14.09.2024, 13:49:33
🦸🏻‍♂️: Matelko, ⚽️: ful-whu_TP, 📊: 2, Bowen, ⏱️: 14.09.2024, 13:49:46
🦸🏻‍♂️: Matelko, ⚽️: liv-not_TP, 📊: 1, jota, ⏱️: 14.09.2024, 13:49:59
🦸🏻‍♂️: Matelko, ⚽️: mci-bre_TP, 📊: 1, haaland, ⏱️: 14.09.2024, 13:50:08
🦸🏻‍♂️: Matelko, ⚽️: ast-eve_TP, 📊: 1, Duran, ⏱️: 14.09.2024, 13:50:32
🦸🏻‍♂️: Matelko, ⚽️: bou-che_TP, 📊: 2, Maufeke, ⏱️: 14.09.2024, 13:50:46
🦸🏻‍♂️: Patres, ⚽️: ast-eve_TP, 📊: 1, Rogers, ⏱️: 14.09.2024, 16:05:42
🦸🏻‍♂️: Patres, ⚽️: bou-che_TP, 📊: 2, Jackson, ⏱️: 14.09.2024, 16:06:13
🦸🏻‍♂️: Kiko, ⚽️: wol-new_TP, 📊: 2, Isak, ⏱️: 15.09.2024, 09:31:18
🦸🏻‍♂️: Kiko, ⚽️: tot-ars_TP, 📊: X2, havertz, ⏱️: 15.09.2024, 09:31:54
🦸🏻‍♂️: Patres, ⚽️: tot-ars_TP, 📊: 2, Saka, ⏱️: 15.09.2024, 11:04:22
🦸🏻‍♂️: Patres, ⚽️: wol-new_TP, 📊: 2, Gordon, ⏱️: 15.09.2024, 11:04:24

