🦸🏻‍♂️: Kiko, ⚽️: cry-liv_TP, 📊: 2, salah, ⏱️: 05.10.2024, 12:08:12
🦸🏻‍♂️: Kiko, ⚽️: ars-sou_TP, 📊: 1,havertz, ⏱️: 05.10.2024, 12:08:41
🦸🏻‍♂️: Kiko, ⚽️: bre-wol_TP, 📊: 1,mbeumo, ⏱️: 05.10.2024, 12:09:01
🦸🏻‍♂️: Kiko, ⚽️: lei-bou_TP, 📊: 2x, evanilson, ⏱️: 05.10.2024, 12:09:41
🦸🏻‍♂️: Kiko, ⚽️: mci-ful_TP, 📊: 1, foden, ⏱️: 05.10.2024, 12:10:09
🦸🏻‍♂️: Kiko, ⚽️: whu-ips_TP, 📊: 1,bowen, ⏱️: 05.10.2024, 12:10:33
🦸🏻‍♂️: Kiko, ⚽️: eve-new_TP, 📊: 2,gordon, ⏱️: 05.10.2024, 12:11:26
🦸🏻‍♂️: Patres, ⚽️: cry-liv_TP, 📊: 2, Jota, ⏱️: 05.10.2024, 12:39:03
🦸🏻‍♂️: Matelko, ⚽️: cry-liv_TP, 📊: 2, macallsiter, ⏱️: 05.10.2024, 13:29:16
🦸🏻‍♂️: Matelko, ⚽️: ars-sou_TP, 📊: 1, Trossard, ⏱️: 05.10.2024, 13:29:41
🦸🏻‍♂️: Matelko, ⚽️: bre-wol_TP, 📊: X, Hwang, ⏱️: 05.10.2024, 13:30:35
🦸🏻‍♂️: Matelko, ⚽️: lei-bou_TP, 📊: 2, Semenyo, ⏱️: 05.10.2024, 13:30:56
🦸🏻‍♂️: Matelko, ⚽️: mci-ful_TP, 📊: 1, Silva, ⏱️: 05.10.2024, 13:31:43
🦸🏻‍♂️: Matelko, ⚽️: whu-ips_TP, 📊: 1, Kudus, ⏱️: 05.10.2024, 13:32:14
🦸🏻‍♂️: Matelko, ⚽️: eve-new_TP, 📊: 2, Barnes, ⏱️: 05.10.2024, 13:32:59
🦸🏻‍♂️: Patres, ⚽️: ars-sou_TP, 📊: 1, Saka, ⏱️: 05.10.2024, 14:37:29
🦸🏻‍♂️: Patres, ⚽️: bre-wol_TP, 📊: X, Cunha, ⏱️: 05.10.2024, 14:39:16
🦸🏻‍♂️: Patres, ⚽️: lei-bou_TP, 📊: 1, Vardy , ⏱️: 05.10.2024, 14:39:41
🦸🏻‍♂️: Patres, ⚽️: mci-ful_TP, 📊: 1, Grealish, ⏱️: 05.10.2024, 14:41:58
🦸🏻‍♂️: Patres, ⚽️: whu-ips_TP, 📊: 1, Antonio, ⏱️: 05.10.2024, 14:43:44
🦸🏻‍♂️: Patres, ⚽️: eve-new_TP, 📊: 2, Guiamares, ⏱️: 05.10.2024, 14:44:51
🦸🏻‍♂️: Matelko, ⚽️: ast-mun_TP, 📊: X, Bailey, ⏱️: 06.10.2024, 13:54:56
🦸🏻‍♂️: Matelko, ⚽️: che-not_TP, 📊: 1, Palmer, ⏱️: 06.10.2024, 13:55:03
🦸🏻‍♂️: Kiko, ⚽️: ast-mun_TP, 📊: 2x, rash, ⏱️: 06.10.2024, 13:58:08
🦸🏻‍♂️: Kiko, ⚽️: che-not_TP, 📊: 1,jackson, ⏱️: 06.10.2024, 13:58:30
🦸🏻‍♂️: Kiko, ⚽️: bri-tot_TP, 📊: 2, johnson, ⏱️: 06.10.2024, 13:59:31
🦸🏻‍♂️: Patres, ⚽️: ast-mun_TP, 📊: 1, Watkins, ⏱️: 06.10.2024, 14:42:12
🦸🏻‍♂️: Patres, ⚽️: che-not_TP, 📊: 1, Sancho, ⏱️: 06.10.2024, 14:42:39
🦸🏻‍♂️: Patres, ⚽️: bri-tot_TP, 📊: X, Welbeck , ⏱️: 06.10.2024, 14:43:40
🦸🏻‍♂️: Matelko, ⚽️: bri-tot_TP, 📊: 2, Solanke, ⏱️: 06.10.2024, 17:01:40
