🦸🏻‍♂️: Kiko, ⚽️: tot-whu_TP, 📊: 1, johnson, ⏱️: 19.10.2024, 10:42:10
🦸🏻‍♂️: Matelko, ⚽️: tot-whu_TP, 📊: 1, Solanke, ⏱️: 19.10.2024, 10:57:56
🦸🏻‍♂️: Patres, ⚽️: tot-whu_TP, 📊: 1, Son, ⏱️: 19.10.2024, 13:11:09
🦸🏻‍♂️: Kiko, ⚽️: mun-bre_TP, 📊: 1,rash, ⏱️: 19.10.2024, 14:48:30
🦸🏻‍♂️: Kiko, ⚽️: ful-ast_TP, 📊: 2, watkins, ⏱️: 19.10.2024, 14:50:06
🦸🏻‍♂️: Kiko, ⚽️: ips-eve_TP, 📊: X, delap, ⏱️: 19.10.2024, 14:51:48
🦸🏻‍♂️: Kiko, ⚽️: new-bri_TP, 📊: 1x,isak, ⏱️: 19.10.2024, 14:52:33
🦸🏻‍♂️: Kiko, ⚽️: sou-lei_TP, 📊: 2, mavididi, ⏱️: 19.10.2024, 14:54:24
🦸🏻‍♂️: Matelko, ⚽️: ful-ast_TP, 📊: 2, Onana, ⏱️: 19.10.2024, 15:02:12
🦸🏻‍♂️: Matelko, ⚽️: ips-eve_TP, 📊: 1, Clarke, ⏱️: 19.10.2024, 15:02:57
🦸🏻‍♂️: Matelko, ⚽️: mun-bre_TP, 📊: 1, Dalot, ⏱️: 19.10.2024, 15:03:29
🦸🏻‍♂️: Matelko, ⚽️: new-bri_TP, 📊: X, Gordon, ⏱️: 19.10.2024, 15:03:46
🦸🏻‍♂️: Matelko, ⚽️: sou-lei_TP, 📊: 2, Vardy, ⏱️: 19.10.2024, 15:04:11
🦸🏻‍♂️: Matelko, ⚽️: bou-ars_TP, 📊: 2, Havertz, ⏱️: 19.10.2024, 15:04:23
🦸🏻‍♂️: Patres, ⚽️: ips-eve_TP, 📊: 2, Mcneil, ⏱️: 19.10.2024, 15:25:32
🦸🏻‍♂️: Patres, ⚽️: mun-bre_TP, 📊: 1, Bruno, ⏱️: 19.10.2024, 15:26:52
🦸🏻‍♂️: Patres, ⚽️: new-bri_TP, 📊: X, Welbeck, ⏱️: 19.10.2024, 15:28:47
🦸🏻‍♂️: Patres, ⚽️: sou-lei_TP, 📊: 1, Archer, ⏱️: 19.10.2024, 15:30:49
🦸🏻‍♂️: Kiko, ⚽️: bou-ars_TP, 📊: 2,trossard, ⏱️: 19.10.2024, 17:40:04
🦸🏻‍♂️: Patres, ⚽️: bou-ars_TP, 📊: 2, Sterling, ⏱️: 19.10.2024, 17:52:01
🦸🏻‍♂️: Matelko, ⚽️: wol-mci_TP, 📊: 2, Foden, ⏱️: 20.10.2024, 11:28:38
🦸🏻‍♂️: Matelko, ⚽️: liv-che_TP, 📊: 1, Diaz, ⏱️: 20.10.2024, 11:29:05
🦸🏻‍♂️: Kiko, ⚽️: wol-mci_TP, 📊: 2,silva, ⏱️: 20.10.2024, 12:45:43
🦸🏻‍♂️: Kiko, ⚽️: liv-che_TP, 📊: 1,salah, ⏱️: 20.10.2024, 12:46:04
🦸🏻‍♂️: Patres, ⚽️: wol-mci_TP, 📊: 2, Doku, ⏱️: 20.10.2024, 14:13:09
🦸🏻‍♂️: Patres, ⚽️: liv-che_TP, 📊: X, Palmer, ⏱️: 20.10.2024, 17:00:40
🦸🏻‍♂️: Matelko, ⚽️: not-cry_TP, 📊: 1, Wood, ⏱️: 21.10.2024, 19:52:29
🦸🏻‍♂️: Kiko, ⚽️: not-cry_TP, 📊: 1,elanga, ⏱️: 21.10.2024, 19:54:24
