🦸🏻‍♂️: Patres, ⚽️: lei-not_TP, 📊: 1, Vardy , ⏱️: 25.10.2024, 20:18:17
🦸🏻‍♂️: Kiko, ⚽️: lei-not_TP, 📊: 2, wood, ⏱️: 25.10.2024, 20:32:11
🦸🏻‍♂️: Matelko, ⚽️: lei-not_TP, 📊: X, Faes, ⏱️: 25.10.2024, 20:33:32
🦸🏻‍♂️: Matelko, ⚽️: ast-bou_TP, 📊: 1, Onana, ⏱️: 26.10.2024, 14:52:43
🦸🏻‍♂️: Matelko, ⚽️: bre-ips_TP, 📊: 1, Nordgaard, ⏱️: 26.10.2024, 14:53:27
🦸🏻‍♂️: Matelko, ⚽️: bri-wol_TP, 📊: 1, Welbeck, ⏱️: 26.10.2024, 14:53:47
🦸🏻‍♂️: Matelko, ⚽️: mci-sou_TP, 📊: 1, Nunes, ⏱️: 26.10.2024, 14:54:09
🦸🏻‍♂️: Patres, ⚽️: ast-bou_TP, 📊: 1, Watkins , ⏱️: 26.10.2024, 15:10:28
🦸🏻‍♂️: Patres, ⚽️: bre-ips_TP, 📊: 1, Wissa, ⏱️: 26.10.2024, 15:11:06
🦸🏻‍♂️: Patres, ⚽️: bri-wol_TP, 📊: 1, Rutter, ⏱️: 26.10.2024, 15:12:32
🦸🏻‍♂️: Patres, ⚽️: mci-sou_TP, 📊: 1, Foden, ⏱️: 26.10.2024, 15:13:34
🦸🏻‍♂️: Kiko, ⚽️: ast-bou_TP, 📊: 1,rogers, ⏱️: 26.10.2024, 15:29:41
🦸🏻‍♂️: Kiko, ⚽️: bre-ips_TP, 📊: 1,mbeumo, ⏱️: 26.10.2024, 15:30:02
🦸🏻‍♂️: Kiko, ⚽️: bri-wol_TP, 📊: 1,mitoma, ⏱️: 26.10.2024, 15:31:00
🦸🏻‍♂️: Kiko, ⚽️: mci-sou_TP, 📊: 1,silva, ⏱️: 26.10.2024, 15:31:20
🦸🏻‍♂️: Matelko, ⚽️: eve-ful_TP, 📊: 1, Doucoure, ⏱️: 26.10.2024, 17:36:02
🦸🏻‍♂️: Kiko, ⚽️: eve-ful_TP, 📊: 2,jimenez, ⏱️: 26.10.2024, 17:53:51
🦸🏻‍♂️: Patres, ⚽️: eve-ful_TP, 📊: 2, ESR, ⏱️: 26.10.2024, 18:02:24
🦸🏻‍♂️: Kiko, ⚽️: whu-mun_TP, 📊: 2, garnacho, ⏱️: 27.10.2024, 13:48:51
🦸🏻‍♂️: Kiko, ⚽️: che-new_TP, 📊: 1,palmer, ⏱️: 27.10.2024, 13:49:00
🦸🏻‍♂️: Matelko, ⚽️: che-new_TP, 📊: X, Isak, ⏱️: 27.10.2024, 13:52:52
🦸🏻‍♂️: Matelko, ⚽️: che-new_TP, 📊: ZMENA - X, Jackson, ⏱️: 27.10.2024, 13:53:28
🦸🏻‍♂️: Matelko, ⚽️: cry-tot_TP, 📊: X, Eze, ⏱️: 27.10.2024, 13:54:00
🦸🏻‍♂️: Matelko, ⚽️: whu-mun_TP, 📊: X, Kilman, ⏱️: 27.10.2024, 13:54:48
🦸🏻‍♂️: Kiko, ⚽️: cry-tot_TP, 📊: 2,solanke, ⏱️: 27.10.2024, 14:02:09
🦸🏻‍♂️: Matelko, ⚽️: ars-liv_TP, 📊: 2, Salah, ⏱️: 27.10.2024, 16:43:08
🦸🏻‍♂️: Kiko, ⚽️: ars-liv_TP, 📊: X, havertz, ⏱️: 27.10.2024, 16:43:23
🦸🏻‍♂️: Patres, ⚽️: ars-liv_TP, 📊: 1, Saka, ⏱️: 27.10.2024, 17:29:16
